text;label
halah ngeles, klu memang mobil bpk ga ada, kan posisinya di mabes, kenapa bpk ga laporan klu kehilangan mobil...emang ga punya rasa malu ya..🤣🤣🤣;no
mampus;no
hahahahaha..... makanya jidatnya licin udh bnyak uang dr luar gaji dimakan udh biarin azlah toh ntar ada azabnya;no
bukan doyan lg tapi rakussss dan kemaruk sperti sambooo......;no
nampak x muka firly ini muka2 penipu..selalu aja berbelit2..koperatip donk dengan masalah anda.gak usah sembunyi2.;no
ternyata para pejabat saat ini hanya segelintir org yg masih bs di percaya, segelintir org itu pun kita jg masih meragukan, apakah semua pejabat kita semua pada bobrok dan tdk lg dapat di percaya, saat ini bs di katakan semua pejabat kita mata duit.;no
muke maling;no
hee.hee....berusaha menghindar dari awak media...rupanya ketahuan juga.;no
jenderal kok kayak ayam sayur,jago kandang;no
tampangnya kelihatan, doyan duit org ini;no
ngantar apa ngasih ? suka gak jelas org ini.;no
jadi mobil siapa yg dipake? konon gak ada datanya di samsat. kok bisa ya tiba² ada yg nawarin mobil?;no
pengurus kpk terburuk dalam sejarah berdirinya kpk sejak 2002;no
begitulah ketika remote pdip disuruh lepas ga mau.. sudah cukuplah jd jongos si merahnya.. skrg km hantam itu si merah..wkwkwk salam waras;no
setelah jadi saksi naik jadi tersangka;no
kok bisa ketua kpk di pinjamkan mobil, helikopter haha. edisi kpk terhancur dalam sejarah bangsa;no
lembaga apakah yang termasuk lembaga terkorup di negeri ini? google saja datanya!;no
wajar lah.... mk dikangkangi aja bisa! yup nggak ada hubungannya!;no
namanya jurnalis yo buru berita;no
yg penting berbohong terus biar ga mati di dalam penjara. setidak nya bisa menikmati sisa hari dengan membayar pengacara supaya terus ngibul pake suit rakyat tentunya buat bayarinnya.;no
no seri rfp bukannya tercatat instansi kepolisian?;no
pura pura ,ngelabui wartawan aja itu ,karena klu camri ,pati jdi sasaran wartawan;no
muka-mata-bisa-jadi-pertanda/ perhatikan-mata-dan-muka;no
iya pak firli begitulah suasana hati dan perasaan org yg sdg bermasalah, namun hadapilah dg lapang dada krn hidup tak selamanya senang, adakalanya sedih, apalagi kita tdk pernah merasa cukup dan lupa bersyukur atas nikmat yg allah berikan, refleksi diri untuk hidup yg lbh baik lagi.....;no
segala tetek bengek yg gak penting.. intinya firli hrs hadapi proses hukum dengan benar..jgn suka mangkir2 lagi..;no
sandiwara semua...;no
kebohongan yg satu akan ditutupi oleh kebohongan kebohongan berikutnya.;no
ini bukan antara palestina dgn israel lho ?;no
bagus gak, berprestasi gak, rusuh iya. indon sekali.;no
jatim lagi...jatim lagi.... malu maluin.;no
erick thahir apes banget ya, setelah gak terpilih jd cawapres, ketiban masalah kerusuhan bola;no
gara gara suporter yang tidak ngerti tata tertib.jadi bikin malu indonesia padahal di indonesia sedang berlangsung piala dunia yang di lihat dan di siarkan langsung seluruh dunia;no
nganggur banget sih suporternya, ato emang gk ada hal yg lebih penting dari nonton bola 🤣😂🤣;no
biar rasa…supporter sampah..mending di tutup aja itu club2 yg punya supporter ngga bs di bina;no
mantap,truskanlah;no
bagi-yg-mikir/org-sangat-banyak- dikit-gesekan-bisa-besar/maka-ga-usah-fanatik-nonton-spk-bol-;no
serangan israel terhadap rs indonesia ini sudah melanggar aturan nyata hukum humaniter internasional, harusnya negara negara yg memiliki kedekatan dengan israel sudah seharusnya mengerahkan segala upaya dan mendesak negara zionis itu menghentikan kekejamannya. karna ditempat ini juga banyak warga ga;no
semoga perang gaza ini berlangsung lama. lihat siapa yang susah nanti, apa yang diboikot atau yang memboikot. tapi menurut saya, yang sulit nanti pasti yang berstatus pekerja bukannya perusahaan.;no
situ ngomongin akhirat mulu..emang situ udah pernah ke akhirat??????;no
mengomentarre! tect!;no
"boikot"" az loe klau boikot gak usah pakai hp hidup loe dizaman batu gak usah pakai yg lain"" jg produk israel memang sanggup berpikir dulu sblm komen woi";no
ga nyambung;no
minta israel diadili mahkamah international untuk pm netanyahu karena kejahatan perang, ayoooo kumandangkan politisi indonesia, jangan diam saja sibuk caleg ya???;no
memangnya kamu sanggup beli produk israel?;no
maksud lu ini siapa yg lagi dihukum sama tuhan ? apa sukarelawan mer-c yg saat ini masih hilang ? apa dia dihukum karena jerih payahnya menolong orang demi kemanusiaan ?;no
sotoy itu cangkemmu jadi fitnah, amal jelek/baik dicatat malaikat, kau akan pertanggungjawaban kelak di akhirat;no
apa yg terjadi di gaza itu sdh kehendak tuhan hanya tuhan yg tahu kapan berakhir..semua itu cara tuhan menghukum umatnya.berdoa semua pd tuhan;no
