text;label
dasar tolol . ! curang kok bangga ! ;yes
ini benar biadab , terkutuk itu kkb tersebut , lantas apa ? sangkut paut dengan tenaga kerja tersebut , yang sekedar mencari nafkah untuk keluarga , pada bapak tni polri kenapa , kok tidak tuntas itu hal kkb , semakin hari makin merajalela . ! apakah tni polri cuman nongkrong saja di warung kopi kau ini digaji uang rakyat . !;yes
jadi , korupsi sudah jadi dna indonesia , negara dengan penduduk muslim terbesar dunia , korup , jorok pula . secara mental n karakter masih tertinggal dengan timor leste . mantan indonesia , selalu diolok2 . di sana tidak ada pengemis , tidak ada preman , lebih rapi n bersih .;yes
bacot doang , tetap saja babi2 ber strobo pada berserakan di jalanan . tidak usah mimpi mampu bersihin beginian tong . ;yes
kamu aja yang bloon;yes
hmmm . kasian kamu jadi buzer zionis . lagi . tunggu messiah yang di tunggu-tunggu zionis ya ? dajjal kan . hehehe;yes
palelu peang . kamu yang habis kamu yang habis . wkwkwk .;yes
ya alhamdulillah ada yang bagi bagi rezeky untuk petugas babinsa . itu kalau ada yang nyinyir otaknya konslert atau keinjek ota itu .;yes
kenapa puting payudara dimusuhi tetangnya . lithuania , latvia , polandia , swedia dan banyak lagi . karena suka merampas wilayah negara tetangga tidak beda kayak israel . dan cuma berani menyerang tetangga sudah begitu cuma bisa menyerang bangunan sipilis uuurraakan . ;yes
lihai apaan ? sama titit gede juga mewek . diuwel uwel tiap mlm , pasti y mewek juga . ;yes
hamas anjink dimampusin biar jadi bidadari;yes
puluhan tahun merebut tanah palestina . biadab , kejam . israel memang biadab . orang-orang tidak waras tidak punya hati nurani yang membela .;yes
tolol . ! dasarnya ya prnyataan kepolisian . ! sebuah institusi yang harus rakyat percaya . budaya malu itu diturunkan diajarkan dari orang tua pendidikan . kalau tidak malu itu tandanya lo itu otg yang kurang di ajar alias kurang ajar . ;yes
kritik boleh boleh untuk perangkat desa mendukung prabowo gibran tapi anjing nya kafilah jalan terus , hehehe barisan sakit hati ? nyanyilah benci tapi rindu .;yes
coca cola dkk , investor2 yang susah didapat siap angkat kaki . bangunan mereka buat mereka . investor pergi dibarter dengan imigran2 gaza , imigran rohingya yang miskin , unskilled , namanya di bagi kadrun !;yes
terbukti ini dia perampok keparat;yes
mending banyak omong dari pada banyak kerja .;yes
herannya banyak yahudi pesek yang masih mendukung ;yes
lhah jakarta sudah mau tenggelam kok . tolol jangan dipelihara . bego . kasihan ibumu wkwkwk;yes
manusia tidak berguna , manusia sampah .;yes
Jakarta tolak keras ! kembali jadi ikn . klihatanx kalau berkuasa semua pohon di copot seperti monas dulu oleh gubernur . untung tidak jadi gurun gundul hahaha;yes
tuyul tiongkok banyak di Indonesia rentenir ;yes
love group abri , dont love group rambo songong pelindung cukong judi;yes
aku , kamu , sama pengecutnya sama hamas tikus got;yes
jika duit tidak ada , jangan hidup mewah . pantas saja negeri ini tidak maju dipimpin rakyatnya tidak bisa ngukur dirinya . jika cuma ngutang dan bermewah2x mendingan jokowi tidak usah jadi presiden .;yes
tkn prabowo itu penipu;yes
dukungan susilo bambang yudhoyono terhadap anies dicabut karena tidak dapat jatah wapres dari surya paloh , inilah lakon penghianat asli , dukungan moeldoko di barter dengan penghianatan susilo bambang yudhoyono dan ahy di koalisi perubahan , rencana keji ini tercium surya paloh , dasar  .;yes
